"Valuación de Inventarios","0001-AGV","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-001-458","Negatoscopio estudiantil con lupa",,"1",,,
"0-001-720","Tornillo para fixator nacional",,"15",,,
"0-002-780","Resistencia para vaccum",,"1",,,
"0-003-003","Pieza de mano de baja velocidad Switch tipo-E con irrigación",,"126",,,
"0-003-780","Cable para vaccum",,"13",,,
"02-511-11","Arco Impulse Borgatta Black .014  superior c/10 piezas",,"154",,,
"02-511-12","Arco Impulse Borgatta Black .016 superior c/10 piezas",,"86",,,
"02-511-13","Arco Impulse Borgatta Black .018 superior c/10 piezas",,"220",,,
"02-511-14","Arco Impulse Borgatta Black .020 superior c/10 piezas",,"27",,,
"02-511-61","Arco Impulse Borgatta Black .014 inferior c/10 piezas",,"194",,,
"02-511-62","Arco Impulse Borgatta Black .016 inferior c/10 piezas",,"103",,,
"02-511-63","Arco Impulse Borgatta Black .018 inferior c/10 piezas",,"116",,,
"02-511-64","Arco Impulse Borgatta Black .020 inferior c/10 piezas",,"11",,,
"02-523-11","Arco Neo-Impulse Borgatta Black .016x.016 superior c/10 piezas",,"13",,,
"02-523-12","Arco Neo-Impulse Borgatta Black .016x.022 superior c/10 piezas",,"19",,,
"02-523-13","Arco Neo-Impulse Borgatta Black .017x.025 superior c/10 piezas",,"29",,,
"02-523-14","Arco Neo-Impulse Borgatta Black .018x.018 superior c/10 piezas",,"49",,,
"02-523-15","Arco Neo-Impulse Borgatta Black .018x.025 superior c/10 piezas",,"19",,,
"02-523-16","Arco Neo-Impulse Borgatta Black .019x.025 superior c/10 piezas",,"46",,,
"02-523-17","Arco Neo-Impulse Borgatta Black .020x.020 superior c/10 piezas",,"71",,,
"02-523-18","Arco Neo-Impulse Borgatta Black .021x.028 superior c/10 piezas",,"13",,,
"02-523-61","Arco Neo-Impulse Borgatta Black .016x.016 inferior c/10 piezas",,"21",,,
"02-523-62","Arco Neo-Impulse Borgatta Black .016x.022 inferior c/10 piezas",,"55",,,
"02-523-63","Arco Neo-Impulse Borgatta Black .017x.025 inferior c/10 piezas",,"23",,,
"02-523-64","Arco Neo-Impulse Borgatta Black .018x.018 inferior c/10 piezas",,"18",,,
"02-523-65","Arco Neo-Impulse Borgatta Black .018x.025 inferior c/10 piezas",,"23",,,
"02-523-66","Arco Neo-Impulse Borgatta Black .019x.025 inferior c/10 piezas",,"41",,,
"02-523-67","Arco Neo-Impulse Borgatta Black .020x.020 inferior c/10 piezas",,"76",,,
"02-523-68","Arco Neo-Impulse Borgatta Black .021x.028 inferior c/10 piezas",,"8",,,
"02-528-01","Arco Bio-Impulse Borgatta Black .016x.016 superior c/10 piezas",,"7",,,
"02-528-02","Arco Bio-Impulse Borgatta Black .016x.022 superior c/10 piezas",,"37",,,
"02-528-04","Arco Bio-Impulse Borgatta Black .018x.018 superior c/10 piezas",,"31",,,
"02-528-05","Arco Bio-Impulse Borgatta Black .018x.025 superior c/10 piezas",,"5",,,
"02-528-06","Arco Bio-Impulse Borgatta Black .019x.025 superior c/10 piezas",,"4",,,
"02-528-07","Arco Bio-Impulse Borgatta Black .020x.020 superior c/10 piezas",,"185",,,
"02-528-08","Arco Bio-Impulse Borgatta Black .021x.028 superior c/10 piezas",,"1",,,
"02-528-51","Arco Bio-Impulse Borgatta Black .016x.016 inferior c/10 piezas",,"1",,,
"02-528-52","Arco Bio-Impulse Borgatta Black .016x.022 inferior c/10 piezas",,"11",,,
"02-528-54","Arco Bio-Impulse Borgatta Black .018x.018 inferior c/10 piezas",,"15",,,
"02-528-55","Arco Bio-Impulse Borgatta Black .018x.025 inferior c/10 piezas",,"2",,,
"02-528-56","Arco Bio-Impulse Borgatta Black .019x.025 inferior c/10 piezas",,"6",,,
"02-528-57","Arco Bio-Impulse Borgatta Black .020x.020 inferior c/10 piezas",,"250",,,
"02-528-58","Arco Bio-Impulse Borgatta Black .021x.028 inferior c/10 piezas",,"7",,,
"03-014-63","Arco de acero inoxidable BLACK .014 superior c/10 piezas",,"60",,,
"03-014-64","Arco de acero inoxidable BLACK .014 inferior c/10 piezas",,"57",,,
"03-016-63","Arco de acero inoxidable BLACK .016 superior c/10 piezas",,"74",,,
"03-016-64","Arco de acero inoxidable BLACK .016 inferior c/10 piezas",,"69",,,
"03-018-63","Arco de acero inoxidable BLACK .018 superior c/10 piezas",,"37",,,
"03-018-64","Arco de acero inoxidable BLACK .018 inferior c/10 piezas",,"40",,,
"03-020-63","Arco de acero inoxidable BLACK .020 superior c/10 piezas",,"19",,,
"03-020-64","Arco de acero inoxidable BLACK .020 inferior c/10 piezas",,"19",,,
"03-125-44-PP","Arco de acero inoxidable trenzado .021x.025 inferior 1 pieza",,"3",,,
"03-125-63","Arco de acero inoxidable BLACK .021x.025 superior c/10 piezas",,"482",,,
"03-125-64","Arco de acero inoxidable BLACK .021x.025 inferior c/10 piezas",,"491",,,
"03-140-89","Rollo de resorte abierto de acero inoxidable BLACK .010x.040 c/90 cm",,"5",,,
"03-616-63","Arco de acero inoxidable BLACK .016x.016 superior c/10 piezas",,"68",,,
"03-616-64","Arco de acero inoxidable BLACK .016x.016 inferior c/10 piezas",,"65",,,
"03-622-63","Arco de acero inoxidable BLACK .016x.022 superior c/10 piezas",,"114",,,
"03-622-64","Arco de acero inoxidable BLACK .016x.022 inferior c/10 piezas",,"111",,,
"03-725-63","Arco de acero inoxidable BLACK .017x.025 superior c/10 piezas",,"37",,,
"03-725-64","Arco de acero inoxidable BLACK .017x.025 inferior c/10 piezas",,"48",,,
"03-825-63","Arco de acero inoxidable BLACK .018x.025 superior c/10 piezas",,"21",,,
"03-825-64","Arco de acero inoxidable BLACK .018x.025 inferior c/10 piezas",,"24",,,
"03-925-63","Arco de acero inoxidable BLACK .019x.025 superior c/10 piezas",,"292",,,
"03-925-64","Arco de acero inoxidable BLACK .019x.025 inferior c/10 piezas",,"419",,,
"10-000-01","Resorte cerrado Impulse .010x.035 200 g c/ojal",,"4",,,
"10-000-02","Resorte cerrado Impulse .010x.035 150 g c/ojal",,"138",,,
"10-000-03","Resorte cerrado Impulse .010x.035 100 g c/ojal",,"90",,,
"10-000-04","Resorte cerrado Impulse .010x.035 200 g c/ojal y ligadura",,"44",,,
"10-000-05","Resorte cerrado Impulse .010x.035 150 g c/ojal y ligadura",,"40",,,
"10-000-09","Resorte abierto Impulse .010x.035 100 g",,"2",,,
"10-000-52","Resorte de Niti abierto en rollo",,"41",,,
"15-540-08","Primer Premolar Superior U8",,"7",,,
"15-540-09","Primer Premolar Superior U9",,"4",,,
"15-540-10","Primer Premolar Superior U10",,"61",,,
"15-540-11","Primer Premolar Superior U11",,"62",,,
"15-540-12","Primer Premolar Superior U12",,"25",,,
"15-540-15","Primer Premolar Superior U15",,"16",,,
"15-540-16","Primer Premolar Superior U16",,"43",,,
"15-540-17","Primer Premolar Superior U17",,"48",,,
"15-540-18","Primer Premolar Superior U18",,"42",,,
"15-540-19","Primer Premolar Superior U19",,"43",,,
"15-540-20","Primer Premolar Superior U20",,"27",,,
"15-540-21","Primer Premolar Superior U21",,"5",,,
"15-540-22","Primer Premolar Superior U22",,"18",,,
"15-540-23","Primer Premolar Superior U23",,"6",,,
"15-540-24","Primer Premolar Superior U24",,"28",,,
"15-540-25","Primer Premolar Superior U25",,"27",,,
"15-540-26","Primer Premolar Superior U26",,"27",,,
"15-540-27","Primer Premolar Superior U27",,"37",,,
"15-540-28","Primer Premolar Superior U28",,"28",,,
"15-540-30","Primer Premolar Superior U30",,"12",,,
"15-640-10","Primer Premolar Inferior L10",,"81",,,
"15-640-11","Primer Premolar Inferior L11",,"89",,,
"15-640-12","Primer Premolar Inferior L12",,"50",,,
"15-640-13","Primer Premolar Inferior L13",,"56",,,
"15-640-14","Primer Premolar Inferior L14",,"107",,,
"15-640-15","Primer Premolar Inferior L15",,"68",,,
"15-640-16","Primer Premolar Inferior L16",,"62",,,
"15-640-17","Primer Premolar Inferior L17",,"38",,,
"15-640-18","Primer Premolar Inferior L18",,"33",,,
"15-640-19","Primer Premolar Inferior L19",,"38",,,
"15-640-20","Primer Premolar Inferior L20",,"12",,,
"15-640-21","Primer Premolar Inferior L21",,"3",,,
"15-640-22","Primer Premolar Inferior L22",,"7",,,
"15-640-23","Primer Premolar Inferior L23",,"6",,,
"15-640-24","Primer Premolar Inferior L24",,"6",,,
"15-640-25","Primer Premolar Inferior L25",,"4",,,
"17-001-14","Tornillo de expansión mediano Borgatta color rosa",,"4372",,,
"17-002-14","Tornillo de expansión mini Borgatta color rosa",,"2782",,,
"17-003-14","Tornillo de expansión grande Borgatta color rosa",,"5612",,,
"17-102-01","Tornillo Hyrax L 8 mm",,"15",,,
"17-102-02","Tornillo Hyrax L 9 mm",,"21",,,
"17-102-03","Tornillo Hyrax L 11 mm",,"15",,,
"17-102-04","Tornillo Hyrax L 13 mm",,"15",,,
"17-102-05","Tornillo Hyrax abanico L",,"25",,,
"17-109-11","Tornillo acodado recto 12 mm Borgatta color rosa",,"282",,,
"17-109-12","Tornillo acodado "U" hacia arriba (color rosa)",,"143",,,
"17-109-13","Tornillo acodado hacia abajo Borgatta color rosa",,"130",,,
"17-109-14","Tornillo acodado recto 14 mm Borgatta color rosa",,"194",,,
"17-111-34","Retractor de carrillos GAC infantil",,"475",,,
"17-222-11","Block de papel de acetato p/ trazado 8"x10" c/100 hojas",,"69",,,
"17-222-22","Cera para bkts. GAC",,"173",,,
"1-8015","Etiqueta blanca en rollo 160x45 (2 al paso)",,"3000",,,
"1925-22","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 22mm 1 pieza",,"3",,,
"1925-24","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 24mm 1 pieza",,"27",,,
"1925-26","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 26mm 1 pieza",,"40",,,
"1925-28","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 28mm 1 pieza",,"21",,,
"1925-30","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 30mm 1 pieza",,"56",,,
"1925-32","Arco de acero inoxidable de una llave Borgatta .019x.025 inferior 32mm 1 pieza",,"33",,,
"1925-34","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 34mm 1 pieza",,"13",,,
"1925-36","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 36mm 1 pieza",,"43",,,
"1925-38","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 38mm 1 pieza",,"6",,,
"1925-40","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 40mm 1 pieza",,"94",,,
"1925-42","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 42mm 1 pieza",,"80",,,
"1925-44","Arco de acero inoxidable de una llave Borgatta .019x.025 superior 44mm 1 pieza",,"53",,,
"200-015","Rollo de NiTi Borgatta .012 c/4.64 m",,"41",,,
"200-016","Rollo de NiTi Borgatta .014 c/4.64 m",,"66",,,
"200-017","Rollo de NiTi Borgatta .016 c/5 cm",,"86",,,
"200-018","Rollo de NiTi Borgatta .018 c/4.64 m",,"140",,,
"200-019","Rollo de resorte abierto de NiTi Borgatta .010x.030 c/58.42 cm",,"1400",,,
"200-020","Rollo de resorte abierto de NiTi Borgatta .012x.030 c/58.42 cm",,"625",,,
"200-031","Arco de acero inoxidable Borgatta .012 superior 10 piezas",,"278",,,
"200-032","Arco de acero inoxidable Borgatta .012 inferior 10 piezas",,"192",,,
"200-033","Arco de acero inoxidable Borgatta .014 superior 10 piezas",,"140",,,
"200-034","Arco de acero inoxidable Borgatta .014 inferior 10 piezas",,"263",,,
"200-035","Arco de acero inoxidable Borgatta .016 superior 10 piezas",,"718",,,
"200-036","Arco de acero inoxidable Borgatta .016 inferior 10 piezas",,"928",,,
"200-037","Arco de acero inoxidable Borgatta .018 superior 10 piezas",,"268",,,
"200-038","Arco de acero inoxidable Borgatta .018 inferior 10 piezas",,"550",,,
"200-039","Arco de acero inoxidable Borgatta .016x.016 superior 10 piezas",,"405",,,
"200-040","Arco de acero inoxidable Borgatta .016x.016 inferior 10 piezas",,"627",,,
"200-041","Arco de acero inoxidable Borgatta .016x.022 superior 10 piezas",,"803",,,
"200-042","Arco de acero inoxidable Borgatta .016x.022 inferior 10 piezas",,"792",,,
"200-043","Arco de acero inoxidable Borgatta .017x.025 superior 10 piezas",,"762",,,
"200-044","Arco de acero inoxidable Borgatta .017x.025 inferior 10 piezas",,"907",,,
"200-045","Arco de acero inoxidable Borgatta .018x.025 superior 10 piezas",,"2946",,,
"200-046","Arco de acero inoxidable Borgatta .018x.025 inferior 10 pieza",,"2960",,,
"200-047","Arco de acero inoxidable Borgatta .019x.025 superior 10 piezas",,"5242",,,
"200-048","Arco de acero inoxidable Borgatta .019x.025 inferior 10 piezas",,"6264",,,
"200-051","Arco de acero inoxidable Borgatta .020 superior 10 piezas",,"150",,,
"200-052","Arco de acero inoxidable Borgatta .020 inferior 10 piezas",,"261",,,
"200-059","Rollo de NiTi Borgatta .020 c/4.64 m",,"32",,,
"200-074","Tira de alambre de acero inoxidable Borgatta .016x.016 10 piezas",,"36",,,
"200-075","Tira de alambre de acero inoxidable Borgatta .016x.022 10 piezas",,"3075",,,
"200-076","Tira de alambre de acero inoxidable Borgatta .017x.025 10 piezas",,"114",,,
"200-077","Tira de alambre de acero inoxidable Borgatta .018x.025 10 piezas",,"20",,,
"200-078","Tira de alambre de acero inoxidable Borgatta .019x.025 10 piezas",,"61",,,
"200-083","Arcos de acero inoxidable trenzado Borgatta .016x.016 superiores 10 piezas",,"90",,,
"200-084","Arcos de acero inoxidable trenzado Borgatta .016x.016 inferiores 10 piezas",,"24",,,
"200-085","Arcos de acero inoxidable trenzado Borgatta .016x.022 superiores 10 piezas",,"116",,,
"200-086","Arcos de acero inoxidable trenzado Borgatta .016x.022 inferiores 10 piezas",,"7",,,
"200-087","Arcos de acero inoxidable trenzado Borgatta .017x.025 superiores 10 piezas",,"33",,,
"200-088","Arcos de acero inoxidable trenzado Borgatta .017x.025 inferiores 10 piezas",,"14",,,
"200-089","Arcos de acero inoxidable trenzado Borgatta .018x.025 superiores 10 piezas",,"21",,,
"200-090","Arcos de acero inoxidable trenzado Borgatta .018x.025 inferiores 10 piezas",,"4",,,
"200-091","Arcos de acero inoxidable trenzado Borgatta .019x.025 superiores 10 piezas",,"2",,,
"200-093","Arco de acero inoxidable trenzado Borgatta .021x.025 superior c/10 piezas",,"108",,,
"200-094","Arco de acero inoxidable trenzado Borgatta .021x.025 inferior c/10 piezas",,"1",,,
"200-095","Tira de resorte abierto de NiTi Borgatta",,"1331",,,
"200-096","Resorte cerrado de NiTi Borgatta .010x.030 6 mm",,"593",,,
"200-097","Resorte cerrado de NiTi Borgatta .010x.030 9 mm",,"181",,,
"200-098","Resorte cerrado de NiTi Borgatta .010x.030 12 mm",,"112",,,
"200-099","Resorte cerrado de NiTi Borgatta .010x.030 15 mm",,"19",,,
"200-100","Alambre Wipla Media Caña Duro Elástico (1.30 x 0.65 mm)",,"13",,,
"200-101","Alambre Wipla Media Caña Duro Elástico (1.50 x 0.75 mm)",,"18",,,
"200-102","Alambre Wipla Media Caña Duro Elástico (1.75 x 0.90 mm)",,"37",,,
"20-04-402","Sensor Intraoral #2 tamaño adulto",,"5",,,
"20-889-18","Muestra de Bkt. In*Ovation "R" de plastico",,"18",,,
"20-889-22","Muestra de Bkt. In*Ovation "R" de plastico",,"100",,,
"20-889-23","Muestra de Bkt. X-pression "R" de plastico",,"121",,,
"21-A","Mentonera suave mediana",,"103",,,
"21-B","Mentonera suave grande",,"158",,,
"2601-32-01","Banda BLACK LR1 con Tubo Edgewise LR Sencillo .022",,"307",,,
"2601-32-02","Banda BLACK LR2 con Tubo Edgewise LR Sencillo .022",,"324",,,
"2601-32-03","Banda BLACK LR3 con Tubo Edgewise LR Sencillo .022",,"327",,,
"2601-32-04","Banda BLACK LR4 con Tubo Edgewise LR Sencillo .022",,"294",,,
"2601-32-05","Banda BLACK LR5 con Tubo Edgewise LR Sencillo .022",,"332",,,
"2601-32-06","Banda BLACK LR6 con Tubo Edgewise LR Sencillo .022",,"192",,,
"2601-32-07","Banda BLACK LR7 con Tubo Edgewise LR Sencillo .022",,"237",,,
"2601-32-08","Banda BLACK LR8 con Tubo Edgewise LR Sencillo .022",,"277",,,
"2601-32-09","Banda BLACK LR9 con Tubo Edgewise LR Sencillo .022",,"245",,,
"2601-32-10","Banda BLACK LR10 con Tubo Edgewise LR Sencillo .022",,"128",,,
"2601-32-11","Banda BLACK LR11 con Tubo Edgewise LR Sencillo .022",,"97",,,
"2601-32-12","Banda BLACK LR12 con Tubo Edgewise LR Sencillo .022",,"66",,,
"2601-32-13","Banda BLACK LR13 con Tubo Edgewise LR Sencillo .022",,"93",,,
"2601-32-14","Banda BLACK LR14 con Tubo Edgewise LR Sencillo .022",,"20",,,
"2601-32-15","Banda BLACK LR15 con Tubo Edgewise LR Sencillo .022",,"11",,,
"2601-32-16","Banda BLACK LR16 con Tubo Edgewise LR Sencillo .022",,"10",,,
"2601-32-17","Banda BLACK LR17 con Tubo Edgewise LR Sencillo .022",,"6",,,
"2601-32-18","Banda BLACK LR18 con Tubo Edgewise LR Sencillo .022",,"9",,,
"2601-32-20","Banda BLACK LR20 con Tubo Edgewise LR Sencillo .022",,"9",,,
"2601-32-22","Banda BLACK LR22 con Tubo Edgewise LR Sencillo .022",,"13",,,
"2601-32-24","Banda BLACK LR24 con Tubo Edgewise LR Sencillo .022",,"6",,,
"2601-32-25","Banda BLACK LR25 con Tubo Edgewise LR Sencillo .022",,"14",,,
"2601-32-26","Banda BLACK LR26 con Tubo Edgewise LR Sencillo .022",,"10",,,
"2601-32-27","Banda BLACK LR27 con Tubo Edgewise LR Sencillo .022",,"70",,,
"2601-32-28","Banda BLACK LR28 con Tubo Edgewise LR Sencillo .022",,"3",,,
"2601-32-29","Banda BLACK LR29 con Tubo Edgewise LR Sencillo .022",,"34",,,
"2601-32-30","Banda BLACK LR30 con Tubo Edgewise LR Sencillo .022",,"40",,,
"2601-32-31","Banda BLACK LR31 con Tubo Edgewise LR Sencillo .022",,"67",,,
"2601-32-32","Banda BLACK LR32 con Tubo Edgewise LR Sencillo .022",,"115",,,
"2601-42-01","Banda BLACK LL1 con Tubo Edgewise LL Sencillo .022",,"321",,,
"2601-42-02","Banda BLACK LL2 con Tubo Edgewise LL Sencillo .022",,"387",,,
"2601-42-03","Banda BLACK LL3 con Tubo Edgewise LL Sencillo .022",,"341",,,
"2601-42-04","Banda BLACK LL4 con Tubo Edgewise LL Sencillo .022",,"317",,,
"2601-42-05","Banda BLACK LL5 con Tubo Edgewise LL Sencillo .022",,"346",,,
"2601-42-06","Banda BLACK LL6 con Tubo Edgewise LL Sencillo .022",,"372",,,
"2601-42-07","Banda BLACK LL7 con Tubo Edgewise LL Sencillo .022",,"340",,,
"2601-42-08","Banda BLACK LL8 con Tubo Edgewise LL Sencillo .022",,"352",,,
"2601-42-09","Banda BLACK LL9 con Tubo Edgewise LL Sencillo .022",,"262",,,
"2601-42-10","Banda BLACK LL10 con Tubo Edgewise LL Sencillo .022",,"163",,,
"2601-42-11","Banda BLACK LL11 con Tubo Edgewise LL Sencillo .022",,"122",,,
"2601-42-12","Banda BLACK LL12 con Tubo Edgewise LL Sencillo .022",,"108",,,
"2601-42-13","Banda BLACK LL13 con Tubo Edgewise LL Sencillo .022",,"54",,,
"2601-42-14","Banda BLACK LL14 con Tubo Edgewise LL Sencillo .022",,"18",,,
"2601-42-15","Banda BLACK LL15 con Tubo Edgewise LL Sencillo .022",,"14",,,
"2601-42-16","Banda BLACK LL16 con Tubo Edgewise LL Sencillo .022",,"20",,,
"2601-42-17","Banda BLACK LL17 con Tubo Edgewise LL Sencillo .022",,"18",,,
"2601-42-18","Banda BLACK LL18 con Tubo Edgewise LL Sencillo .022",,"16",,,
"2601-42-19","Banda BLACK LL19 con Tubo Edgewise LL Sencillo .022",,"5",,,
"2601-42-20","Banda BLACK LL20 con Tubo Edgewise LL Sencillo .022",,"3",,,
"2601-42-21","Banda BLACK LL21 con Tubo Edgewise LL Sencillo .022",,"9",,,
"2601-42-22","Banda BLACK LL22 con Tubo Edgewise LL Sencillo .022",,"15",,,
"2601-42-23","Banda BLACK LL23 con Tubo Edgewise LL Sencillo .022",,"18",,,
"2601-42-24","Banda BLACK LL24 con Tubo Edgewise LL Sencillo .022",,"1",,,
"2601-42-25","Banda BLACK LL25 con Tubo Edgewise LL Sencillo .022",,"26",,,
"2601-42-26","Banda BLACK LL26 con Tubo Edgewise LL Sencillo .022",,"1",,,
"2601-42-27","Banda BLACK LL27 con Tubo Edgewise LL Sencillo .022",,"57",,,
"2601-42-28","Banda BLACK LL28 con Tubo Edgewise LL Sencillo .022",,"12",,,
"2601-42-29","Banda BLACK LL29 con Tubo Edgewise LL Sencillo .022",,"27",,,
"2601-42-30","Banda BLACK LL30 con Tubo Edgewise LL Sencillo .022",,"10",,,
"2601-42-31","Banda BLACK LL31 con Tubo Edgewise LL Sencillo .022",,"143",,,
"2601-42-32","Banda BLACK LL32 con Tubo Edgewise LL Sencillo .022",,"95",,,
"2602-12-01","Banda BLACK UR1 con Tubo Edgewise UR Doble .022",,"386",,,
"2602-12-02","Banda BLACK UR2 con Tubo Edgewise UR Doble .022",,"311",,,
"2602-12-03","Banda BLACK UR3 con Tubo Edgewise UR Doble .022",,"310",,,
"2602-12-04","Banda BLACK UR4 con Tubo Edgewise UR Doble .022",,"326",,,
"2602-12-05","Banda BLACK UR5 con Tubo Edgewise UR Doble .022",,"377",,,
"2602-12-06","Banda BLACK UR6 con Tubo Edgewise UR Doble .022",,"365",,,
"2602-12-07","Banda BLACK UR7 con Tubo Edgewise UR Doble .022",,"280",,,
"2602-12-08","Banda BLACK UR8 con Tubo Edgewise UR Doble .022",,"270",,,
"2602-12-09","Banda BLACK UR9 con Tubo Edgewise UR Doble .022",,"252",,,
"2602-12-10","Banda BLACK UR10 con Tubo Edgewise UR Doble .022",,"66",,,
"2602-12-11","Banda BLACK UR11 con Tubo Edgewise UR Doble .022",,"95",,,
"2602-12-12","Banda BLACK UR12 con Tubo Edgewise UR Doble .022",,"52",,,
"2602-12-13","Banda BLACK UR13 con Tubo Edgewise UR Doble .022",,"141",,,
"2602-12-14","Banda BLACK UR14 con Tubo Edgewise UR Doble .022",,"22",,,
