"Valuación de Inventarios","0005-ABCK","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"03-125-44","Arcos de acero inoxidable trenzado GAC .021x.025 inferiores",,,,,
"03-125-44-PP","Arco de acero inoxidable trenzado .021x.025 inferior 1 pieza",,"9119",,,
"03-725-63","Arco de acero inoxidable BLACK .017x.025 superior c/10 piezas",,,,,
"03-725-63-PP","Arco de acero inoxidable BLACK .017x.025 superior 1 pieza",,"251",,,
"03-725-64-PP","Arco de acero inoxidable BLACK .017x.025 inferior 1 pieza",,"266",,,
"03-825-63-PP","Arco de acero inoxidable BLACK .018x.025 superior 1 pieza",,"33002",,,
"03-825-64-PP","Arco de acero inoxidable BLACK .018x.025 inferior 1 pieza",,"33012",,,
"03-925-43-PP","Arco de acero inoxidable trenzado .019x.025 superior 1 pieza",,"4533",,,
"03-925-44","Arco de acero inoxidable trenzado GAC .019x.025 inferior",,,,,
"03-925-44-PP","Arco de acero inoxidable trenzado .019x.025 inferior 1 pieza",,"4518",,,
"03-925-63","Arco de acero inoxidable BLACK .019x.025 superior c/10 piezas",,,,,
"03-925-63-PP","Arco de acero inoxidable BLACK .019x.025 superior 1 pieza",,"5028",,,
"03-925-64-PP","Arco de acero inoxidable BLACK .019x.025 inferior 1 pieza",,"4941",,,
"1-2032","Estuche para Bkt.color uva (Glint)",,"19915",,,
"1-2046","Estuche para Bkt.color verde (i Line)",,"10533",,,
"1-2047","Estuche para Bkt.color azul (Borgatta)",,"3172",,,
"1-2049","Estuche para Bkt. cristal (Black)",,"3334",,,
"1-4094-B","Bolsa papel-plástico arco Bio-Impulse",,"22908",,,
"1-4095-I","Bolsa papel-plástico arco Impulse",,"3630",,,
"1-4096-N","Bolsa papel-plástico arco Neo-Impulse",,"18000",,,
"1-4097-TB","Bolsa papel-plástico arco Trenzado Black",,"54384",,,
"1-4098-T","Bolsa papel-plástico arco Trenzado",,"55200",,,
"1-4099","Caja para Fit Jig B.B.",,"3100",,,
"1-4104","Caja para Fit Jig Borgatta",,"6998",,,
"1-4104-EU","Caja para Fit Jig Borgatta España",,"498",,,
"1-4107-AB","Bolsa papel-plástico arco Inoxidable Black",,"273",,,
"1-4108-A","Bolsa papel-plástico arco Inoxidable Borgatta",,"8615",,,
"1-8011-1","Etiqueta en rollo rdonda c/holograma "b" (brackets)",,"226000",,,
"1-8079","Stick Reyes CEO",,"117",,,
"1-8087","Etiqueta en rollo 98x47 c/adhesivo p/brackets I line (BOPP perlado)",,"75000",,,
"1-8088","Etiqueta en rollo 98x47 c/adhesivo p/brackets Borgatta (BOPP perlado)",,"28700",,,
"1-8094","Etiqueta en rollo 99x47 c/adhesivo p/brackets  Glint  (BOPP perlado)",,"71800",,,
"1-8101","Etiqueta en rollo 98x47 c/adhesivo p/brackets B.B. negra (BOPP perlado)",,"1000",,,
"1-8102","Etiqueta en rollo 98x47 c/adhesivo p/brackets B.B. amarilla (BOPP perlado)",,"3000",,,
"1-8108","Etiqueta en rollo 119x90 Fit Jig (1 al paso)",,"1000",,,
"200-045-RC","Arco de acero inoxidable Borgatta .018x.025 superior",,"15110",,,
"200-046-RC","Arco de acero inoxidable Borgatta .018x.025 inferior",,"15129",,,
"200-047-RC","Arco de acero inoxidable Borgatta .019x.025 superior",,"89892",,,
"200-047-T","Arco de acero inoxidable Borgatta .019x.025 superior 1 pieza",,"9551",,,
"200-048-RC","Arco de acero inoxidable Borgatta .019x.025 inferior",,"88833",,,
"200-048-T","Arco de acero inoxidable Borgatta .019x.025 inferior 1 pieza",,"8838",,,
"200-062","Arco de acero inoxidable trenzado Borgatta .019x.025 superior",,"5818",,,
"200-063","Arco de acero inoxidable trenzado Borgatta .019x.025 inferior",,"5677",,,
"200-093","Arco de acero inoxidable trenzado Borgatta .021x.025 superior c/10 piezas",,,,,
"200-093-P","Arco de acero inoxidable trenzado Borgatta .021x.025 superior",,"15910",,,
"200-094-P","Arco de acero inoxidable trenzado Borgatta .021x.025 inferior",,"15655",,,
"300-510-3LL3","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LL3",,"40",,,
"300-510-3LL4","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LL4",,"40",,,
"300-510-3LL5","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LL5",,"30",,,
"300-510-3LR3","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LR3",,"70",,,
"300-510-3LR4","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LR4",,"40",,,
"300-510-3LR5","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LR5",,"10",,,
"300-510-3UL3","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UL3",,"120",,,
"300-510-3UL4","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UL4",,"130",,,
"300-510-3UL5","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UL5",,"110",,,
"300-510-3UR3","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UR3",,"120",,,
"300-510-3UR4","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UR4",,"130",,,
"300-510-3UR5","Pieza de bkt. Autoligado Interactivo Nova c/g .022 UR5",,"120",,,
"300-510-5LL1","Pieza de bkt. Autoligado Interactivo Nova s/g .022 LL1",,"30",,,
"300-510-5LL2","Pieza de bkt. Autoligado Interactivo Nova s/g .022 LL2",,"70",,,
"300-510-5LR1","Pieza de bkt. Autoligado Interactivo Nova s/g .022 LR1",,"10",,,
"300-510-5LR2","Pieza de bkt. Autoligado Interactivo Nova s/g .022 LR2",,"40",,,
"300-510-5UL1","Pieza de bkt. Autoligado Interactivo Nova s/g .022 UL1",,"60",,,
"300-510-5UL2","Pieza de bkt. Autoligado Interactivo Nova s/g .022 UL2",,"60",,,
"300-510-5UR1","Pieza de bkt. Autoligado Interactivo Nova s/g .022 UR1",,"50",,,
"300-510-5UR2","Pieza de bkt. Autoligado Interactivo Nova s/g .022 UR2",,"70",,,
"300-510-G","Juego de Bkts. Autoligado Interactivo Nova c/g 345 .022 a granel",,"2105",,,
"300-511-3LL3","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LL3",,"90",,,
"300-511-3LL4","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LL4",,"70",,,
"300-511-3LL5","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LL5",,"80",,,
"300-511-3LR3","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LR3",,"80",,,
"300-511-3LR4","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LR4",,"80",,,
"300-511-3LR5","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 LR5",,"70",,,
"300-511-3UL3","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UL3",,"87",,,
"300-511-3UL4","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UL4",,"100",,,
"300-511-3UL5","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UL5",,"92",,,
"300-511-3UR3","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UR3",,"88",,,
"300-511-3UR4","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UR4",,"75",,,
"300-511-3UR5","Pieza de bkt. Autoligado Interactivo Nova "C" c/g .022 UR5",,"103",,,
"300-511-5LL1","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 LL1",,"70",,,
"300-511-5LL2","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 LL2",,"70",,,
"300-511-5LR1","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 LR1",,"60",,,
"300-511-5LR2","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 LR2",,"60",,,
"300-511-5UL1","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 UL1",,"70",,,
"300-511-5UL2","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 UL2",,"70",,,
"300-511-5UR1","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 UR1",,"60",,,
"300-511-5UR2","Pieza de bkt. Autoligado Interactivo Nova "C" s/g .022 UR2",,"70",,,
"300-511-G","Juego de Bkts. Autoligado Interactivo Nova "C" c/g 345 .022 a granel",,"1866",,,
"300-512-1-G","Juego de bkts. Mirage Sequence Mini Roth c/g.345 .018",,"1750",,,
"300-512-G","Juego de bkts. Mirage Sequence Mini Roth c/g.3 .018",,"1900",,,
"300-513-1-G","Juego de bkts. Mirage Sequence Mini Roth c/g.345 .022",,"3901",,,
"300-513-5LL4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 LL4",,"2000",,,
"300-513-5LL5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 LL5",,"2000",,,
"300-513-5LR4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 LR4",,"2000",,,
"300-513-5LR5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 LR5",,"2000",,,
"300-513-5UL4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UL4",,"2000",,,
"300-513-5UL5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UL5",,"2000",,,
"300-513-5UR4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR4",,"2000",,,
"300-513-5UR5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR5",,"2000",,,
"300-513-G","Juego de bkts. Mirage Sequence Mini Roth c/g.3 .022",,"350",,,
"300-514-3LL3","Pieza de bkt. Vance MBT c/g .022 LL3",,"1",,,
"300-514-3LL4","Pieza de bkt. Vance MBT c/g .022 LL4",,"1",,,
"300-514-3LL5","Pieza de bkt. Vance MBT c/g .022 LL5",,"2",,,
"300-514-3LR3","Pieza de bkt. Vance MBT c/g .022 LR3",,"1",,,
"300-514-3LR5","Pieza de bkt. Vance MBT c/g .022 LR5",,"11",,,
"300-514-3UL3","Pieza de bkt. Vance MBT c/g .022 UL3",,"12",,,
"300-514-3UR3","Pieza de bkt. Vance MBT c/g .022 UR3",,"1",,,
"300-514-3UR4","Pieza de bkt. Vance MBT c/g .022 UR4",,"16",,,
"300-514-3UR5","Pieza de bkt. Vance MBT c/g .022 UR5",,"2",,,
"300-514-G","Juego de bkts. Vance MBT c/g .345 a granel",,"7653",,,
"300-515-G","Juego de bkts. Autoligado passif P c/g 345 a granel",,"1",,,
"300-516-G","Juego de bkts. Autoligado passif Dc/g 345 a granel",,"1",,,
"300-517-G","Juego de bkts. Autoligado Nova MBTc/g 345 a granel",,"119",,,
"300-521-G","Juego de bkts. Mirage Sequence Edgewise .018",,"650",,,
"300-522-5-345","Pieza de bkt. Mirage Sequence Edgewise s/g .022 345",,"50",,,
"300-522-5U2-L12","Pieza de bkt. Mirage Sequence Edgewise s/g .022 U2 L12",,"10",,,
"300-522-G","Juego de bkts. Mirage Sequence Edgewise .022",,"750",,,
"300-535-G","Juego de bkts. Secret Lingual c/g .018 c/tubos p/6 c/28 piezas",,"20",,,
"300-580-G","Juego de bkts. Mirage Sequence Mini Edgewise c/g.3 .018",,"560",,,
"300-581-G","Juego de bkts. Mirage Sequence Mini Edgewise c/g.3 .022",,"750",,,
"300-582-G","Juego de bkts. Mirage Sequence MBT c/g.3 .022",,"339",,,
"300-584-1-G","Juego de bkts. de autoligado interactivo Memory Roth c/g.345 .022 a Granel",,"450",,,
"300-584-3LL3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LL3",,"13",,,
"300-584-3LR3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LR3",,"13",,,
"300-584-5L12","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 L12",,"52",,,
"300-584-5UL1","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UL1",,"13",,,
"300-584-5UL2","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UL2",,"13",,,
"300-584-5UR1","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UR1",,"13",,,
"300-584-5UR2","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UR2",,"13",,,
"300-586-G","Juego de Brackets de Autoligado Interactivo Active "C"",,"1050",,,
"300-600M","Orthobond Oxifosfato con flúor",,"20",,,
"300-700M","Orthobond Ionómero de vidrio con flúor",,"40",,,
"301-610-P","Tubo Nova UR sencillo no convertible c/malla .022 1 pieza",,"3196",,,
"301-620-P","Tubo Nova UL sencillo no convertible c/malla .022 1 pieza",,"3148",,,
"301-630-P","Tubo Nova LR sencillo no convertible c/malla .022 1 pieza",,"2857",,,
"301-640-P","Tubo Nova LL sencillo no convertible c/malla .022 1 pieza",,"2852",,,
"301-644-P","Tubo Borgatta Roth UR sencillo no convertible c/malla .022 1 pieza",,"21997",,,
"301-645-P","Tubo Borgatta Roth UL sencillo no convertible c/malla .022 1 pieza",,"21929",,,
"301-646-P","Tubo Borgatta Roth LR sencillo no convertible c/malla .022 1 pieza",,"22106",,,
"301-647-P","Tubo Borgatta Roth LL sencillo no convertible c/malla .022 1 pieza",,"22170",,,
"301-710-P","Tubo Nova UR sencillo no convertible p/7 c/malla .022 1 pieza",,"3093",,,
"301-720-P","Tubo Nova UL sencillo no convertible p/7 c/malla .022 1 pieza",,"3082",,,
"301-730-P","Tubo Nova LR sencillo no convertible p/7 c/malla .022 1 pieza",,"2896",,,
"301-740-P","Tubo Nova LL sencillo no convertible p/7 c/malla .022 1 pieza",,"2857",,,
"301-844-P","Tubo Borgatta Roth UR sencillo no convertible p/7 c/malla .022 1 pieza",,"15163",,,
"301-845-P","Tubo Borgatta Roth UL sencillo no convertible p/7 c/malla .022 1 pieza",,"15314",,,
"301-846-P","Tubo Borgatta Roth LR sencillo no convertible p/7 c/malla .022 1 pieza",,"15211",,,
"301-847-P","Tubo Borgatta Roth LL sencillo no convertible p/7 c/malla .022 1 pieza",,"15424",,,
"480-810M","Orthobond Autocurable",,"200",,,
"480-820M","Orthobond Fotocurable",,"300",,,
"4-KIT-ACTIVE BOR","Caja para kit Autoligado Active",,"12243",,,
"4-KIT-ACTIVE-C","Caja para kit Autoligado Active Ceramico",,"299",,,
"4-KIT-ACTIVE-I","Caja para kit Autoligado Active infaltil",,"425",,,
"4-KIT-EXPRESSION","Caja para kit smile system expression",,"3817",,,
"4-KIT-EXPRESSION C","Caja para kit smile system expression c (cerámico)",,"2674",,,
"4-KIT-MEMORY BOR","Caja para Kit MEMORY",,"1668",,,
"4-KIT-MEMORY -I","Caja para Kit MEMORY Infantil",,"423",,,
"4-KIT-NOVA BOR","Caja para kit Nova Metálico",,"5472",,,
"4-KIT-NOVA C","Caja para kit Nova Cerámico",,"832",,,
"4-KIT-NOVA PLUS","Caja para kit Nova Metálico con secuencia de arcos Black",,"590",,,
"4-KIT-NOVA-I","Caja para kit Autoligado Nova  infaltil",,"990",,,
"4-KIT-PASIFF-D","Caja para kit Autoligado Passivo Demon",,"571",,,
"4-KIT-PASIFF-P","Caja para kit Autoligado Passivo Pitts",,"621",,,
"4-U-ACTIVE ROTH","Caja universal para Kit Active Roth",,"496",,,
"4-U-MEMORY ROTH","Caja universal para Kit Memory Roth",,"630",,,
"5000000M","Cemento de obturación (14 g polvo/ 7 ml líquido)",,"55",,,
"68-162-05-P","Tubo Black Roth UR sencillo convertible c/malla .022 1 pieza",,"136",,,
"68-162-072-P","Tubo Smile System UR sencillo no convertible c/malla .022 1 pieza",,"1707",,,
"68-162-09-P","Tubo Black Roth UR doble convertible c/malla .022 1 pieza",,"284",,,
"68-172-072-P","Tubo Smile System UR sencillo no convertible p/7 c/malla .022 1 pieza",,"1712",,,
"68-172-09-P","Tubo Black Roth UR sencillo no convertible p/7 c/malla .022 1 pieza",,"339",,,
"68-262-05-P","Tubo Black Roth UL sencillo convertible c/malla .022 1 pieza",,"136",,,
"68-262-072-P","Tubo Smile System UL sencillo no convertible c/malla .022 1 pieza",,"1772",,,
"68-262-09-P","Tubo Black Roth UL doble convertible c/malla .022 1 pieza",,"279",,,
"68-272-072-P","Tubo Smile System UL sencillo no convertible p/7 c/malla .022 1 pieza",,"1728",,,
"68-272-09-P","Tubo Black Roth UL sencillo no convertible p/7 c/malla .022 1 pieza",,"30",,,
"68-362-072-P","Tubo Smile System LR sencillo no convertible c/malla .022 1 pieza",,"1820",,,
"68-362-09-P","Tubo Black Roth LR sencillo convertible c/malla .022 1 pieza",,"291",,,
"68-372-05-P","Tubo Black Roth LR sencillo no convertible p/7 c/malla .022 1 pieza",,"333",,,
"68-372-072-P","Tubo Smile System LR sencillo no convertible p/7 c/malla .022 1 pieza",,"1728",,,
"68-462-072-P","Tubo Smile System LL sencillo no convertible c/malla .022 1 pieza",,"1976",,,
"68-462-09-P","Tubo Black Roth LL sencillo convertible c/malla .022 1 pieza",,"345",,,
"68-472-05-P","Tubo Black Roth LL sencillo no convertible p/7 c/malla .022 1 pieza",,"335",,,
"68-472-072-P","Tubo Smile System LL sencillo no convertible p/7 c/malla .022 1 pieza",,"2060",,,
"69-162-80-P","Tubo Black Duo Roth UR triple convertible p/soldar .022 1 pieza",,"111",,,
"69-262-80-P","Tubo Black Duo Roth UL triple convertible p/soldar .022 1 pieza",,"162",,,
"69-362-88-P","Tubo Black Duo Roth LR doble convertible p/soldar .022 1 pieza",,"109",,,
"69-462-88-P","Tubo Black Duo Roth LL doble convertible p/soldar .022 1 pieza",,"111",,,
"70-100-3LL3","Pieza de bkt. Glint Roth c/g .022 LL3",,"152",,,
"70-100-3LL4","Pieza de bkt. Glint Roth c/g .022 LL4",,"63",,,
"70-100-3LL5","Pieza de bkt. Glint Roth c/g .022 LL5",,"23",,,
"70-100-3LR3","Pieza de bkt. Glint Roth c/g .022 LR3",,"167",,,
"70-100-3LR4","Pieza de bkt. Glint Roth c/g .022 LR4",,"34",,,
"70-100-3UL3","Pieza de bkt. Glint Roth c/g .022 UL3",,"105",,,
"70-100-3UL4","Pieza de bkt. Glint Roth c/g .022 UL4",,"6",,,
"70-100-3UL5","Pieza de bkt. Glint Roth c/g .022 UL5",,"26",,,
"70-100-3UR3","Pieza de bkt. Glint Roth c/g .022 UR3",,"97",,,
"70-100-3UR4","Pieza de bkt. Glint Roth c/g .022 UR4",,"26",,,
"70-100-3UR5","Pieza de bkt. Glint Roth c/g .022 UR5",,"103",,,
"70-100-5LR1","Pieza de bkt. Glint Roth s/g .022 LR1",,"97",,,
"70-100-5UL1","Pieza de bkt. Glint Roth s/g .022 UL1",,"37",,,
"70-100-5UL2","Pieza de bkt. Glint Roth s/g .022 UL2",,"22",,,
"70-100-5UR1","Pieza de bkt. Glint Roth s/g .022 UR1",,"122",,,
"70-100-5UR2","Pieza de bkt. Glint Roth s/g .022 UR2",,"20",,,
"70-100-G","Bracket Glint Roth a granel",,"6520",,,
"70-200-G","Juego de bkts. Glint Cerámico Roth .022 c/g.345 (Granel)",,"2302",,,
"71-644-P","Tubos Glint Roth UR sencillos no convertibles c/malla .022 1 pieza",,"3203",,,
"71-645-P","Tubos Glint Roth UL sencillos no convertibles c/malla .022 1 pieza",,"3377",,,
"71-646-P","Tubos Glint Roth LR sencillos no convertibles c/malla .022 1 pieza",,"3277",,,
"71-647-P","Tubos Glint Roth LL sencillos no convertibles c/malla .022 1 pieza",,"3270",,,
"71-844-P","Tubos Glint Roth UR sencillos no convertibles p/7 c/malla .022 1 pieza",,"56",,,
"71-845-P","Tubos Glint Roth UL sencillos no convertibles p/7 c/malla .022 1 pieza",,"230",,,
"71-846-P","Tubos Glint Roth LR sencillos no convertibles p/7 c/malla .022 1 pieza",,"54",,,
"71-847-P","Tubos Glint Roth LL sencillos no convertibles p/7 c/malla .022 1 pieza",,"55",,,
"80-300","Juego de bkts. iLine Mini Roth c/g.345 .018",,"1",,,
"80-300-G","Juego de bkts. iLine Mini Roth c/g.345 .018",,"2800",,,
"80-301-3 UR3","Pieza de Brackets Roth mini .022 c/g UR3",,"505",,,
"80-301-3LL4","Pieza de Brackets Roth mini .022 c/g LL4",,"530",,,
"80-301-3LL5","Pieza de Brackets Roth mini .022 c/g LL5",,"530",,,
"80-301-3LR3","Pieza de Brackets Roth mini .022 c/g LR3",,"556",,,
"80-301-3LR4","Pieza de Brackets Roth mini .022 c/g LR4",,"476",,,
"80-301-3LR5","Pieza de Brackets Roth mini .022 c/g LR5",,"480",,,
"80-301-3UL3","Pieza de Brackets Roth mini .022 c/g UL3",,"508",,,
"80-301-3UL4","Pieza de Brackets Roth mini .022 c/g UL4",,"500",,,
"80-301-3UL5","Pieza de Brackets Roth mini .022 c/g UL5",,"550",,,
"80-301-3UR4","Pieza de Brackets Roth mini .022 c/g UR4",,"500",,,
"80-301-3UR5","Pieza de Brackets Roth mini .022 c/g UR5",,"500",,,
"80-301-5LL1","Pieza de Brackets Roth mini .022 s/g LL1",,"1073",,,
"80-301-5LL2","Pieza de Brackets Roth mini .022 s/g LL2",,"550",,,
"80-301-5LR1","Pieza de Brackets Roth mini .022 s/g LR1",,"550",,,
"80-301-5LR2","Pieza de Brackets Roth mini .022 s/g LR2",,"500",,,
"80-301-5UL1","Pieza de Brackets Roth mini .022 s/g UL1",,"500",,,
"80-301-5UL2","Pieza de Brackets Roth mini .022 s/g UL2",,"500",,,
"80-301-5UR1","Pieza de Brackets Roth mini .022 s/g UR1",,"500",,,
"80-301-5UR2","Pieza de Brackets Roth mini .022 s/g UR2",,"500",,,
"80-301-G","Juego de bkts. iLine Mini Roth c/g.345 .022",,"36700",,,
"80-302-G","Juego de bkts. iLine Edgewise c/g.3 .018",,"3740",,,
"80-303-G","Juego de bkts. iLine Edgewise c/g.3 .022",,"1250",,,
"80-310-1-G","Juego de Bkts. Autoligado Interactivo Active c/g.345 .022 GRANEL",,"5943",,,
"80-310-3LL3","Pieza de bkt. Autoligado Interactivo Active c/g .022 LL3",,"160",,,
"80-310-3LL4","Pieza de bkt. Autoligado Interactivo Active c/g .022 LL4",,"200",,,
"80-310-3LL5","Pieza de bkt. Autoligado Interactivo Active c/g .022 LL5",,"50",,,
"80-310-3LR3","Pieza de bkt. Autoligado Interactivo Active c/g .022 LR3",,"200",,,
"80-310-3LR4","Pieza de bkt. Autoligado Interactivo Active c/g .022 LR4",,"60",,,
"80-310-3LR5","Pieza de bkt. Autoligado Interactivo Active c/g .022 LR5",,"50",,,
"80-310-3UL3","Pieza de bkt. Autoligado Interactivo Active c/g .022 UL3",,"240",,,
"80-310-3UL4","Pieza de bkt. Autoligado Interactivo Active c/g .022 UL4",,"160",,,
"80-310-3UL5","Pieza de bkt. Autoligado Interactivo Active c/g .022 UL5",,"60",,,
"80-310-3UR3","Pieza de bkt. Autoligado Interactivo Active c/g .022 UR3",,"160",,,
"80-310-3UR4","Pieza de bkt. Autoligado Interactivo Active c/g .022 UR4",,"160",,,
"80-310-3UR5","Pieza de bkt. Autoligado Interactivo Active c/g .022 UR5",,"150",,,
"80-310-5LL1","Pieza de bkt. Autoligado Interactivo Active s/g .022 LL1",,"200",,,
"80-310-5LL2","Pieza de bkt. Autoligado Interactivo Active s/g .022 LL2",,"250",,,
"80-310-5LR1","Pieza de bkt. Autoligado Interactivo Active s/g .022 LR1",,"100",,,
"80-310-5LR2","Pieza de bkt. Autoligado Interactivo Active s/g .022 LR2",,"300",,,
"80-310-5UL1","Pieza de bkt. Autoligado Interactivo Active s/g .022 UL1",,"200",,,
"80-310-5UL2","Pieza de bkt. Autoligado Interactivo Active s/g .022 UL2",,"210",,,
"80-310-5UR1","Pieza de bkt. Autoligado Interactivo Active s/g .022 UR1",,"210",,,
"80-310-5UR2","Pieza de bkt. Autoligado Interactivo Active s/g .022 UR2",,"180",,,
"90-005-00-G","Juego de bkts. B-Action Roth c/g.3 .022",,"200",,,
"90-005-3LL4","Pieza de bkt. B-Action Roth c/g .022 LL4",,"7",,,
"90-005-3LL5","Pieza de bkt. B-Action Roth c/g .022 LL5",,"1",,,
"90-005-3LR4","Pieza de bkt. B-Action Roth c/g .022 LR4",,"2",,,
"90-005-3LR5","Pieza de bkt. B-Action Roth c/g .022 LR5",,"6",,,
"90-005-3UL5","Pieza de bkt. B-Action Roth c/g .022 UL5",,"6",,,
"90-005-3UR4","Pieza de bkt. B-Action Roth c/g .022 UR4",,"8",,,
"90-005-5U4","Pieza de bkt. B-Action Roth s/g .022 U4",,"440",,,
"90-005-5U5","Pieza de bkt. B-Action Roth s/g .022 U5",,"170",,,
"90-005-5UR1","Pieza de bkt. B-Action Roth s/g .022 UR1",,"1000",,,
"90-005-5UR2","Pieza de bkt. B-Action Roth s/g .022 UR2",,"2100",,,
"90-007-00-G","Juego de bkts. B-Action Roth c/g.345 .022",,"30",,,
"90-016-00-G","Juego de bkts. Micro-action Mini Alexander c/g.3 .018",,"400",,,
"90-016-5UL1","Pieza de bkt. Micro-action Mini Alexander s/g .018 UL1",,"1110",,,
"90-045-01-G","Juego de bkts. Black Duo Roth c/g.345 .022",,"600",,,
"90-045-3LL3","Pieza de bracket Black Duo Roth c/g .022 LL3",,"3450",,,
"90-045-3LL4","Pieza de bracket Black Duo Roth c/g .022 LL4",,"1190",,,
"90-045-3LL5","Pieza de bracket Black Duo Roth c/g .022 LL5",,"3260",,,
"90-045-3LR3","Pieza de bracket Black Duo Roth c/g .022 LR3",,"3760",,,
"90-045-3LR4","Pieza de bracket Black Duo Roth c/g .022 LR4",,"1190",,,
"90-045-3LR5","Pieza de bracket Black Duo Roth c/g .022 LR5",,"2450",,,
