"Valuación de Inventarios","0002-APROD","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"02-511-61-PP","Arco Impulse Borgatta Black .014 inferior 1 pieza",,"6000",,,
"02-511-63-PP","Arco Impulse Borgatta Black .018 inferior 1 pieza",,"4000",,,
"02-523-12-PP","Arco Neo-Impulse Borgatta Black .016x.022 superior 1 pieza",,"500",,,
"02-528-07-PP","Arco Bio-Impulse Borgatta Black .020x.020 superior 1 pieza",,"4000",,,
"02-528-57-PP","Arco Bio-Impulse Borgatta Black .020x.020 inferior 1 pieza",,"4000",,,
"1-1001","Suaje para estuche de bandas (32 cavidades)",,"2588",,,
"1-1002","Suaje para kit de lijas stripping maneral",,"373",,,
"1-1003","Suaje para kit de lijas stripping manual",,"352",,,
"1-1004","Suaje para Kit de piezas de mano (alta y baja)",,"705",,,
"1-1005","Suaje para estuche de módulos en stick i line (15 cavidades)",,"4839",,,
"1-1006","Suaje para kit de implantes ELITE MB1000",,"343",,,
"1-1007","Suaje para kit de implantes QUICK PLUS MIP-4000",,"85",,,
"1-1008","Suaje para kit de piezas de mano (MASTER Y LUX)",,"1113",,,
"1-1009","Suaje para kit de Striping",,"96",,,
"1-1011","Suaje para Kit de pinzas alineadores",,"20",,,
"1-2033","Tubo de PVC con tapa Azul (para alambre de ortodoncia)",,"1878",,,
"1-2039","Estuche para empaque 4x4 con cavidad (Uva Glint)",,"3669",,,
"1-2040","Estuche para empaque 4x4 con cavidad (Verde iLine)",,"86",,,
"1-2041","Estuche para empaque 4x4 lisa (Verde iLine)",,"1148",,,
"1-2042","Estuche para empaque",,"8458",,,
"1-2044","Estuche para empaque 4x4 con cavidad (Cristal Black)",,"4430",,,
"1-2045","Estuche para empaque 4x4 lisa (Cristal Black)",,"4180",,,
"1-3001","Frasco de plastico con tapa (splin cast)",,"722",,,
"1-3002","Frasco de plastico con tapa (flux 20 gms)",,"7634",,,
"1-3003","Frasco de plastico con tapa (flux 50 gms)",,"1386",,,
"1-3006","Frasco de plastico con pipeta 0 gms. (acrilico borgatta)",,"239",,,
"1-3007","Frasco de cristal color ambar (acilico liquido) 125 ml",,"147",,,
"1-4001","Bolsa con clip para zócalo 9x12" (23x30cms)",,"10000",,,
"1-4002","Bolsa con clip para arco preformado 3x4" (7x10cms)",,"16000",,,
"1-4005","Bolsa con clip para dentalastic 2x3" (5x7cms)",,"24000",,,
"1-4007","Bolsa con clip para splin cast 8x10" (20x25cms)",,"10000",,,
"1-4012","Bolsa 40x70 cms",,"75",,,
"1-4013","Bolsa 8x12 cms",,"25",,,
"1-4014","Bolsa 10x20 cms",,"25",,,
"1-4024","Bolsa con clip 6x6",,"18000",,,
"1-4034","Bolsa con Clip 3x3 p/Elasticos Extraorales",,"10000",,,
"1-4036","Bolsa con Clip p/cucharillas Dharma (30x40)",,"3000",,,
"1-4040","Bolsa Borgatta #3 26+16*47",,"6000",,,
"1-4041","Bolsa Borgatta #2 26+16*35",,"8000",,,
"1-4042","Bolsa Borgatta #4 42+23x68",,"2500",,,
"1-4064","Bolsa con clip 3x5",,"8000",,,
"1-4090","Bolsa de celofan Familia Elastico I Line",,"83918",,,
"1-4091","Maquila platina",,"9299",,,
"1-4092","Bolsas de Celofan Familia Borgatta (cuadrado)",,"14793",,,
"1-4093","Bolsa de celofan Familia elasticos Borgatta (rectangular)",,"22743",,,
"1-4094-B","Bolsa papel-plástico arco Bio-Impulse",,"367800",,,
"1-4095-I","Bolsa papel-plástico arco Impulse",,"243100",,,
"1-4096-N","Bolsa papel-plástico arco Neo-Impulse",,"341050",,,
"1-4097-TB","Bolsa papel-plástico arco Trenzado Black",,"450000",,,
"1-4106","Bolsa de clip 15X15 (Acetato)",,"8000",,,
"1-4107-AB","Bolsa papel-plástico arco Inoxidable Black",,"31200",,,
"1-6018","Caja Borgatta para Set de Desechables",,"1638",,,
"1-7006","Rollo de burbuja SD-240",,"12",,,
"1-7007","Rollo de bobina 4 cm",,"1",,,
"1-7008","Rollo de pelicula poliestrech grado industrial (45 cm)",,"16",,,
"1-7010","Rollo de Bobina 3 cm",,"10",,,
"1-7011","Rollo de Termoencogible 48 cm",,"5",,,
"1-7013","Rollo de Bobina 5cm",,"15",,,
"1-7015","Rollo de polifoam 1/16",,"2",,,
"1-7016","Rollo de burbuja chica 3/16"",,"3",,,
"1-7017","Rollo de Termoencogible 25 cm",,"3",,,
"1-8004","Etiqueta en rollo redonda 44 mm",,"6000",,,
"1-8007","Aceite p/pieza de mano (litro)",,"39.1",,,
"1-8010","Etiqueta blanca en rollo 160x45 (1 al paso)",,"10000",,,
"1-8012","Etiqueta blanca en rollo 44x44 (2 al paso) Módulos",,"60000",,,
"1-8013","Etiqueta blanca en rollo 25x38 (2 al paso) Registros",,"50000",,,
"1-8015","Etiqueta blanca en rollo 160x45 (2 al paso)",,"2000",,,
"1-8018","Etiqueta blanca en rollo 30x14 (3 al paso) Cod. Barras",,"90000",,,
"1-8019","Etiqueta en rollo 60x60 Borgatta (1 al paso) para soldadura",,"21000",,,
"1-8019-1","Etiqueta en rollo 60x60 Borgatta (1 al paso) para cadena",,"10000",,,
"1-8030","Etiqueta en rollo 25x50 I Line (2 al paso) p/alambre",,"13000",,,
"1-8036","Etiqueta en rollo 50x50 Borgatta (2 al paso)",,"99600",,,
"1-8037","Etiqueta en rollo 25x80 Borgatta (3 al paso) p/alambre-instrumentos",,"26000",,,
"1-8043","Etiqueta para Kit de modulos Borgatta CROMA 1 (frente)",,"1235",,,
"1-8044","Etiqueta para Kit de modulos Borgatta CROMA 2 (frente)",,"1235",,,
"1-8047","Etiqueta para Kit de modulos Borgatta CROMA 1 (grande)",,"1228",,,
"1-8048","Etiqueta para Kit de modulos Borgatta CROMA 2 (grande)",,"1228",,,
"1-8050","Etiqueta en rollo 50x50 Borgatta Black (1 al paso)",,"7000",,,
"1-8051","Etiqueta en rollo 24x80 Borgatta Black (1 al paso)",,"8000",,,
"1-8057","Etiqueta en rollo 30x30 (2 al paso) c/marca de agua, Borgatta (BOPP transparente)",,"110000",,,
"1-8058","Carton para armar kit de cepillado",,"114",,,
"1-8060-RC","Carrete de listón Rosa Fuerte para caja ortodontica c/50 mts (18F)",,"159.24",,,
"1-8061-RC","Carrete de listón Uva para caja ortodontica c/50 mts (049)",,"159.24",,,
"1-8062-RC","Carrete de listón Melon para caja ortodontica c/50 mts (008)",,"159.24",,,
"1-8063-RC","Carrete de listón Azul Cielo para caja ortodontica c/50 mts (012)",,"159.24",,,
"1-8064-RC","Carrete de listón Verde Agua para caja ortodontica c/50 mts (091)",,"159.24",,,
"1-8065-RC","Carrete de listón Fiusha para caja ortodontica c/50 mts (059E)",,"195.4",,,
"1-8066-RC","Carrete de listón Amarillo Fluorescente para caja ortodontica c/50 mts (123)",,"190.4",,,
"1-8067-RC","Carrete de listón Naranja Fluorescente para caja ortodontica c/50 mts (96F)",,"189.4",,,
"1-8068-RC","Carrete de listón Verde Fluorescente para caja ortodontica c/50 mts (125)",,"208.4",,,
"1-8069-RC","Carrete de listón Azul Eléctrico para caja ortodontica c/50 mts (010)",,"360.2",,,
"1-8070-RC","Carrete de listón Mandarina para caja ortodontica c/50 mts (096)",,"170.68",,,
"1-8071-RC","Carrete de listón Amarillo Canario para caja ortodontica c/50 mts (007)",,"170.68",,,
"1-8072-RC","Carrete de listón Obispo para caja ortodontica c/50 mts (048)",,"194.8",,,
"1-8073-RC","Carrete de listón Verde Jade para caja ortodontica c/50 mts (068)",,"170.68",,,
"1-8086","Etiqueta Rectangular sin/imp. 18mmX18mm BTS/T (BOPP transparente)",,"149304",,,
"1-8091","Ribbon negro de cera-resina 11 cms. x 450 mts.",,"40",,,
"1-8091-6","Ribbon negro de cera-resina 6 cms. x 450 mts.",,"13",,,
"1-8106","Estuche para pieza de mano individual",,"2725",,,
"1-8107","Estuche para pieza de mano individual NUEVO Diseño",,"1200",,,
"1-8201","Etiqueta para Kit ELEMENT (frente)",,"940",,,
"1-8202","Etiqueta para Kit ELEMENT (reverso)",,"939",,,
"1-8203","Etiqueta para Kit TALENT (frente)",,"865",,,
"1-8204","Etiqueta para Kit TALENT (reverso)",,"865",,,
"1-8205","Etiqueta para Kit EXPERT (frente)",,"959",,,
"1-8206","Etiqueta para Kit EXPERT (reverso)",,"959",,,
"1-8207","Etiqueta para Kit FIT LUX (frente)",,"949",,,
"1-8208","Etiqueta para Kit FIT LUX (reverso)",,"949",,,
"1-9003","Carrete de plástico color azul (soldadura 10 gms)",,"857",,,
"1-9004","Carrete de plástico color rojo (soldadura 20 gms)",,"4806",,,
"200-047-RC","Arco de acero inoxidable Borgatta .019x.025 superior",,"13000",,,
"200-048-RC","Arco de acero inoxidable Borgatta .019x.025 inferior",,"8000",,,
"200-093-P","Arco de acero inoxidable trenzado Borgatta .021x.025 superior",,"10",,,
"28-300-11","Lija para Stripping 15 HD 1 pieza",,"8",,,
"28-300-13","Lija para Stripping 40 HD 1 pieza",,"9",,,
"28-300-14","Lija para Stripping 60 HD 1 pieza",,"4",,,
"28-300-15","Lija para Stripping 90 HD 1 pieza",,"17",,,
"28-300-16","Medidor de espacios de Stripping 0.10 mm a 0.5 mm",,"7",,,
"28-300-17","Lija para pulido 8 HD 1 pieza",,"20",,,
"28-300-23","Maneral para lijas para Stripping",,"20",,,
"28-300-24","Pusher para lijas para Stripping",,"24",,,
"300-052-RC","Rollo de cadena elástica abierta Borgatta color azul",,"77",,,
"3-001","Caja Ortobox color Amarillo para Ortho Aligner",,"256",,,
"3-002","Caja Ortobox color Azul para Ortho Aligner 1 pieza",,"191",,,
"300-240-P","Tubo Borgatta Roth UR sencillo convertible p/soldar .022 1 pieza",,"3200",,,
"300-241-P","Tubo Borgatta Roth UL sencillo convertible p/soldar .022 1 pieza",,"554",,,
"300-252-P","Tubo Borgatta Edgewise LR sencillo convertible p/soldar .022 1 pieza",,"9205",,,
"300-253-P","Tubo Borgatta Edgewise LL sencillo convertible p/soldar .022 1 pieza",,"9000",,,
"3-003","Caja Ortobox color Rojo para Ortho Aligner",,"132",,,
"300-340-P","Tubo Borgatta Roth UR doble convertible p/soldar .018 1 pieza",,"3207",,,
"300-341-P","Tubo Borgatta Roth UL doble convertible p/soldar .018 1 pieza",,"5000",,,
"300-342-P","Tubo Borgatta Roth LR sencillo convertible p/soldar .018 1 pieza",,"3009",,,
"300-343-P","Tubo Borgatta Roth LL sencillo convertible p/soldar .018 1 pieza",,"4004",,,
"300-440-P","Tubo Borgatta Roth UR doble convertible p/soldar .022 1 pieza",,"9993",,,
"300-441-P","Tubo Borgatta Roth UL doble convertible p/soldar .022 1 pieza",,"9236",,,
"300-442-P","Tubo Borgatta Roth LR sencillo convertible p/soldar .022 1 pieza",,"11462",,,
"300-443-P","Tubo Borgatta Roth LL sencillo convertible p/soldar .022 1 pieza",,"11073",,,
"300-540-P","Tubo Borgatta Roth UR triple convertible p/soldar .018 1 pieza",,"6",,,
"300-541-P","Tubo Borgatta Roth UL triple convertible p/soldar .018 1 pieza",,"8",,,
"300-542-P","Tubo Borgatta Roth LR doble convertible p/soldar .018 1 pieza",,"3",,,
"300-543-P","Tubo Borgatta Roth LL doble convertible p/soldar .018 1 pieza",,"7",,,
"300-544-P","Tubo Borgatta Roth UR sencillo no convertible p/soldar .018 1 pieza",,"507",,,
"300-545-P","Tubo Borgatta Roth UL sencillo no convertible p/soldar .018 1 pieza",,"6",,,
"300-546-P","Tubo Borgatta Roth LR sencillo no convertible p/soldar .018 1 pieza",,"500",,,
"300-547-P","Tubo Borgatta Roth LL sencillo no convertible p/soldar .018 1 pieza",,"1",,,
"300-555-RC","Gurin c/g derecho c/10 piezas",,"5",,,
"300-560-R","Tornillo Hyrax Borgatta 7 mm",,"4000",,,
"300-565-R","Tornillo Hyrax Borgatta 13 mm",,"5500",,,
"300-598-L","LLave para Tornillo disyuntor",,"200",,,
"300-598-R","Tornillo disyuntor",,"200",,,
"300-640-P","Tubo Borgatta Roth UR triple convertible p/soldar .022 1 pieza",,"1785",,,
"300-641-P","Tubo Borgatta Roth UL triple convertible p/soldar .022 1 pieza",,"244",,,
"300-643-P","Tubo Borgatta Roth LL doble convertible p/soldar .022 1 pieza",,"700",,,
"300-644-P","Tubo Borgatta Roth UR sencillo no convertible p/soldar .022 1 pieza",,"5017",,,
"300-645-P","Tubo Borgatta Roth UL sencillo no convertible p/soldar .022 1 pieza",,"5000",,,
"300-646-P","Tubo Borgatta Roth LR sencillo no convertible p/soldar .022 1 pieza",,"8002",,,
"300-647-P","Tubo Borgatta Roth LL sencillo no convertible p/soldar .022 1 pieza",,"7513",,,
"300-667","Instrumento para Bkt de autoligado",,"133",,,
"300-704-P","Caja lingual Borgatta universal s/g 1 pieza",,"5",,,
"300-807","Hilo dental sin cera c/12 mts",,"364",,,
"300-820","Reloj de arena para Kit de Cepillado Ortodontico",,"60",,,
"300-900","Pinza CA horizontal",,"100",,,
"300-902","Pinza CA vertical",,"50",,,
"300-903","Pinza CA circular",,"50",,,
"301-150-P","Tubo Borgatta Edgewise UR doble convertible c/malla .018 1 pieza",,"1",,,
"301-151-P","Tubo Borgatta Edgewise UL doble convertible c/malla .018 1 pieza",,"20",,,
"301-153-P","Tubo Borgatta Edgewise LL sencillo convertible c/malla .018 1 pieza",,"147",,,
"301-250-P","Tubo Borgatta Edgewise UR doble convertible c/malla .022 1 pieza",,"104",,,
"301-251-P","Tubo Borgatta Edgewise UL doble convertible c/malla .022 1 pieza",,"4",,,
"301-252-P","Tubo Borgatta Edgewise LR sencillo convertible c/malla .022 1 pieza",,"2",,,
"301-253-P","Tubo Borgatta Edgewise LL sencillo convertible c/malla .022 1 pieza",,"100",,,
"301-340-P","Tubo Borgatta Roth UR doble convertible c/malla .018 1 pieza",,"106",,,
"301-341-P","Tubo Borgatta Roth UL doble convertible c/malla .018 1 pieza",,"104",,,
"301-343-P","Tubo Borgatta Roth LL sencillo convertible c/malla .018 1 pieza",,"1",,,
"301-443-P","Tubo Borgatta Roth LL sencillo convertible c/malla .022 1 pieza",,"2",,,
"301-544-P","Tubo Borgatta Roth UR sencillo no convertible c/malla .018 1 pieza",,"2812",,,
"301-545-P","Tubo Borgatta Roth UL sencillo no convertible c/malla .018 1 pieza",,"3345",,,
"301-546-P","Tubo Borgatta Roth LR sencillo no convertible c/malla .018 1 pieza",,"2401",,,
"301-547-P","Tubo Borgatta Roth LL sencillo no convertible c/malla .018 1 pieza",,"2610",,,
"301-566","Instrumento para doblar hyrax",,"9279",,,
"301-644-P","Tubo Borgatta Roth UR sencillo no convertible c/malla .022 1 pieza",,"3987",,,
"301-645-P","Tubo Borgatta Roth UL sencillo no convertible c/malla .022 1 pieza",,"1988",,,
"301-646-P","Tubo Borgatta Roth LR sencillo no convertible c/malla .022 1 pieza",,"2032",,,
"301-647-P","Tubo Borgatta Roth LL sencillo no convertible c/malla .022 1 pieza",,"2514",,,
"301-744-P","Tubo Borgatta Roth UR sencillo no convertible p/7 c/malla .018 1 pieza",,"7",,,
"301-745-P","Tubo Borgatta Roth UL sencillo no convertible p/7 c/malla .018 1 pieza",,"2",,,
"301-746-P","Tubo Borgatta Roth LR sencillo no convertible p/7 c/malla .018 1 pieza",,"203",,,
"301-747-P","Tubo Borgatta Roth LL sencillo no convertible p/7 c/malla .018 1 pieza",,"4",,,
"301-844-P","Tubo Borgatta Roth UR sencillo no convertible p/7 c/malla .022 1 pieza",,"795",,,
"301-845-P","Tubo Borgatta Roth UL sencillo no convertible p/7 c/malla .022 1 pieza",,"1192",,,
"301-846-P","Tubo Borgatta Roth LR sencillo no convertible p/7 c/malla .022 1 pieza",,"1124",,,
"301-847-P","Tubo Borgatta Roth LL sencillo no convertible p/7 c/malla .022 1 pieza",,"1218",,,
"350-102-RC","Elásticos intraorales látex Borgatta 1/8 2.5 oz c/1000 piezas",,"500",,,
"350-104-RC","Elásticos intraorales látex Borgatta 1/8 4.5 oz c/1000 piezas",,"2640",,,
"350-106-RC","Elásticos intraorales látex Borgatta 1/8 6 oz c/1000 piezas",,"1640",,,
"350-202-RC","Elásticos intraorales látex Borgatta 3/16 2.5 oz c/1000 piezas",,"500",,,
"350-204-RC","Elásticos intraorales látex Borgatta 3/16 4.5 oz c/1000 piezas",,"2879",,,
"350-206-RC","Elásticos intraorales látex Borgatta 3/16 6 oz c/1000 piezas",,"2139",,,
"350-302-RC","Elásticos intraorales látex Borgatta 1/4 2.5 oz c/1000 piezas",,"700",,,
"350-304-RC","Elásticos intraorales látex Borgatta 1/4 4.5 oz c/1000 piezas",,"1600",,,
"350-306-RC","Elásticos intraorales látex Borgatta 1/4 6 oz c/1000 piezas",,"1000",,,
"350-402-RC","Elásticos intraorales látex Borgatta 5/16 2.5 oz c/1000 piezas",,"300",,,
"350-404-RC","Elásticos intraorales látex Borgatta 5/16 4.5 oz c/1000 piezas",,"1280",,,
"350-406-RC","Elásticos intraorales látex Borgatta 5/16 6 oz c/1000 piezas",,"380",,,
"350-502-RC","Elásticos intraorales látex Borgatta 3/8 2.5 oz c/1000 piezas",,"400",,,
"350-504-RC","Elásticos intraorales látex Borgatta 3/8 4.5 oz c/1000 piezas",,"300",,,
"350-506-RC","Elásticos intraorales látex Borgatta 3/8 6 oz c/1000 piezas",,"300",,,
"400-000-00","Kit stripping Maneral",,"1",,,
"400-000-01-R","Tiras de poliéster abrasivas c/100 piezas",,"11400",,,
"400-000-02-R","Tiras de acero inoxidable una luz c/12 piezas",,"51515",,,
"400-000-03-R","Tiras de acero inoxidable dos luces c/12 piezas",,"31690",,,
"4-0-000-006","Instructivo / Garantia para Fit",,"2255",,,
"4-0-000-007","Instructivo / Garantia para Fit Lux",,"1380",,,
"400-000-10","Mango para lijas de stripping",,"24",,,
"400-000-11","Reglas de medición (calibrador)",,"825",,,
"400-000-12-R","Lijas tipo sierra sin abrasivo 0.05 mm c/10 piezas",,"3519",,,
"400-000-13-R","Lija extra fina de dos luces 0.10 mm c/10 piezas",,"467",,,
"400-000-14-R","Lija extra fina de una luz derecha 0.05 mm c/10 piezas",,"467",,,
"400-000-15-R","Lija extra fina de una luz izquierda 0.05 mm c/10 piezas",,"466",,,
"400-000-16-R","Lija fina de dos luces 0.20 mm c/10 piezas",,"467",,,
"400-000-17-R","Lija fina de una luz derecha 0.10 mm",,"468",,,
"400-000-18-R","Lija fina de una luz izquierda 0.10 mm c/10 piezas",,"468",,,
"400-000-19-R","Lija regular de dos luces 0.30 mm c/10 piezas",,"400",,,
"400-000-20-R","Lija regular de una luz derecha 0.15 mm c/10 piezas",,"465",,,
"400-000-21-R","Lija regular de una luz izquierda 0.15 mm c/10 piezas",,"467",,,
"400-000-22-R","Lija gruesa de dos luces 0.40 mm c/10 piezas",,"467",,,
"400-000-23-R","Lija gruesa de una luz derecha 0.20 mm c/10 piezas",,"468",,,
"400-000-24-R","Lija gruesa de una luz izquierda 0.20 mm c/10 piezas",,"468",,,
"400-000-25-R","Lijas extra gruesa de dos luces 0.50 mm c/10 piezas",,"1900",,,
"400-000-30","Kit stripping Manual",,"1",,,
"400-000-31-R","Lijas Manual tipo sierra sin abrasivo 0.05 mm c/10 piezas",,"1464",,,
"400-000-32-R","Lija manual extra fina de dos luces 0.10 mm c/10 piezas",,"457",,,
"400-000-33-R","Lija manual extra fina de una luz 0.05 mm c/10 piezas",,"457",,,
"400-000-34-R","Lija manual fina de dos luces 0.20 mm c/10 piezas",,"456",,,
"400-000-35-R","Lija manual fina de una luz 0.10 mm c/10 piezas",,"456",,,
"400-000-36-R","Lija manual mediana de dos luces 0.30 mm c/10 piezas",,"457",,,
"400-000-37-R","Lija manual mediana de una luz 0.15 mm c/10 piezas",,"457",,,
"400-000-38-R","Lija manual gruesa de dos luces 0.40 mm",,"557",,,
"400-000-39-R","Lija manual gruesa de una luz 0.20 mm c/10 piezas",,"422",,,
"4-0-000-098","Instructivo para Caja de Revelado",,"789",,,
"4-0-000-502","Etiqueta para Flux de 20 gms.",,"7820",,,
"4-0-000-511","Etiqueta para Flux de 50 gms.",,"334",,,
"4-0-001-001","Instructivo / Garantía para Ultra",,"1876",,,
"4-350-00","Bolsa chica de papel para elásticos borgatta",,"244840",,,
"4-350-01","Caja para elásticos borgatta",,"5188",,,
"4-400-00","Caja de cartón para lijas en tira",,"6542",,,
"4-400-01","Caja de cartón para lijas individuales (chica)",,"5394",,,
"4-4094-B","Caja Borgatta Black arco Bio-Impulse",,"630",,,
"4-4095-I","Caja Borgatta Black arco Impulse",,"4380",,,
"4-4096-N","Caja Borgatta Black arco Neo-Impulse",,"1604",,,
"4-4097-T","Caja Borgatta para arco trenzado",,"2195",,,
"4-4098-AB","Caja Borgatta Black para arco de acero",,"800",,,
"4-7000-USO","Etiqueta de USO correcto para Ortho Aligner",,"1795",,,
"47-010-05","Ligaduras metálicas preformadas Black .010",,"14",,,
"4-7011-R","Etiqueta Autoaherible para Ortho Aligner R Kids",,"130",,,
"4-7012-F","Etiqueta autoaherible para ortho Aligner F Kids",,"150",,,
"4-7021-R","Etiqueta Autoaherible para Ortho Aligner R Junior",,"542",,,
"4-7022-F","Etiqueta autoaherible para Ortho Aligner F Junior",,"489",,,
"4-7031-R","Etiqueta autoaherible para Ortho Aligner R Youth",,"614",,,
"4-7032-F","Etiqueta autoaherible para Ortho Aligner F Youth",,"497",,,
"4-800-0","Etiqueta en Rollo para acrilico Polvo ACRYBORG",,"248",,,
"4-800-1","Etiqueta en Rollo para Acrilico Liquido ACRYBORG",,"353",,,
"4-9-000-IONITE","Etiqueta para Cucharilla Dual (IONITE)",,"1618",,,
"4-97-240-10","Instructivo para Splin cast",,"111",,,
"4-BLOCK","Etiqueta para Block de acetato Borgatta Black",,"2614",,,
"4-BPC-E","Etiqueta para caja de Careta de Protección",,"2143",,,
"4-CAJA-M.O","Caja master de cartón para empaque de cajas ortodónticas.",,"2377",,,
"4-E-0-000-098","Etiqueta de Transparente de Precaucion p/caja de revelado",,"574",,,
"4-E-400-00","Etiqueta para kit de lijas stripping maneral",,"380",,,
"4-E-400-30","Etiqueta para kit de lijas stripping manual",,"369",,,
"4-E-ALINEADORES-CH","Etiqueta para Kit de alineadores (chica/frente)",,"656",,,
"4-E-ALINEADORES-G","Etiqueta para Kit de alineadores (grande/reverso)",,"647",,,
"4-E-ELITE-I","Etiqueta auto adherible para Ortho Implantes ELITE para bolsa (Individual)",,"249",,,
"4-E-KIT CROMA1-CH","Etiqueta para Kit de módulos CROMA 1 (chica/frente)",,"2296",,,
"4-E-KIT CROMA1-G","Etiqueta para Kit de modulos CROMA 1 (grande)",,"1244",,,
"4-E-KIT CROMA2-CH","Etiqueta para Kit de modulos CROMA 2 (chica/frente)",,"992",,,
"4-E-KIT CROMA2-G","Etiqueta para Kit de modulos CROMA 2 (grande)",,"1066",,,
"4-E-KIT-ADVANCE","Kit de etiquetas auto adheribles para caja plástica de bandas ADVANCE (4pzs)",,"853",,,
"4-E-KIT-BLACK","Kit de etiquetas auto adheribles para caja plástica de bandas BLACK (4pzs)",,"616",,,
"4-E-KIT-ELITE","Kit de etiquetas auto adheribles para caja plástica de Implantes ELITE (3pzs)",,"965",,,
"4-E-KIT-QUICKPLUS","Kit de etiquetas auto adheribles para caja plástica de Implantes QUICK PLUS (3pzs)",,"902",,,
"4-E-QUICKPLUS-I","Etiqueta auto adherible para Ortho Implantes QUICK PLUS para bolsa (Individual)",,"917",,,
"4-F-0-000-121","Camisa para Punteadora con Templador "Borgatta"",,"54",,,
"4-F-0-000-457","Camisa para Negatoscopio Estudiantil",,"285",,,
"4-I-0-000-121","Instructivo para Punteadora c/Templador Borgatta",,"20",,,
"4-I-0-000-457","Instructivo para Negatoscopio",,"455",,,
"4-I-0-000-705","Instructivo para Pieza de mano de alta velocidad Borgatta Lite Plus",,"2126",,,
"4-I-0-000-708","Instructivo para Pieza de mano de alta velocidad Borgatta Stella Prime",,"1780",,,
"4-I-0-000-720","Instructivo para Fixator",,"500",,,
"4-I-0-003-003","Instructivo para Pieza de Mano de Baja Velocidad Switche "E"",,"1744",,,
"4-KIT-70","Instructivo para Ortho Aligner",,"850",,,
"4-M-97-240-01","Manual de Uso para platinas de Articulador",,"800",,,
"4-MEXICO","Etiqueta MEXICO",,"1330",,,
