"Valuación de Inventarios","0020-PRES","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"71-644-P","Tubos Glint Roth UR sencillos no convertibles c/malla .022 1 pieza",,"2000",,,
"71-645-P","Tubos Glint Roth UL sencillos no convertibles c/malla .022 1 pieza",,"2000",,,
"71-646-P","Tubos Glint Roth LR sencillos no convertibles c/malla .022 1 pieza",,"2000",,,
"71-647-P","Tubos Glint Roth LL sencillos no convertibles c/malla .022 1 pieza",,"2000",,,
"71-844-P","Tubos Glint Roth UR sencillos no convertibles p/7 c/malla .022 1 pieza",,"2000",,,
"71-845-P","Tubos Glint Roth UL sencillos no convertibles p/7 c/malla .022 1 pieza",,"2000",,,
"71-846-P","Tubos Glint Roth LR sencillos no convertibles p/7 c/malla .022 1 pieza",,"2000",,,
"71-847-P","Tubos Glint Roth LL sencillos no convertibles p/7 c/malla .022 1 pieza",,"2000",,,
"80-301","Juego de bkts. iLine Mini Roth c/g.345 .022",,"1",,,
"80-301-2","Juego de bkts. iLine Mini Roth c/g.345 .022 c/tubos p/6",,"13",,,
"80-413-RC","Módulos elásticos en stick Dentalastic iLine color plata",,"24000",,,
"90-045-01","Juego de bkts. Black Duo Roth c/g.345 .022",,"1",,,
"90-079-Manual","Manual de CCO Complete Clinical Orthodontic",,"11",,,
"90-079-REGLA CCO","Regla CCO para trazado cefalometrico",,"6",,,
"90-080-01","Juego de bkts. Action Mini Roth c/g.345 .018",,"1",,,
"90-081-01","Juego de bkts. Action Mini Roth c/g.345 .022",,"15",,,
"A-W-BM02161601","Arcos Borgatta .016x.016 superior",,"1",,,
"A-W-BM02172501","Arcos Borgatta .017x.025 superior",,"1",,,
"A-W-ME021201","Arcos Borgatta .012 superior",,"1",,,
"BBSCXS","Bolsas p/esterilizar papel-plástico Borgatta 9x16.5 cm",,"1",,,
"BEBK","Eyectores Borgatta negro punta transparente",,"1",,,
"BIOBSF","Microaplicadores biodegradables super finos c/100 piezas",,"1",,,
"KIT-100","Kit Fit Lux (0-000-006,0-000-007,0-003-003)",,"4",,,
"KIT-101","Kit Expert (0-000-006,0-000-708,0-003-003)",,"3",,,
"KIT-103","Kit Talent (0-001-001,0-003-003)",,"4",,,
"KIT-104","Kit Element (0-000-705,0-003-003)",,"1",,,
"KIT-515-PTS","Kit de Autoligado passif  P",,"7",,,
"KIT-516-DMD","Kit de Autoligado passif D",,"7",,,
"KIT90-079","Kit X-pression",,"45",,,
"KIT90-089","Kit X-pression CCO C Smile System",,"3",,,
"KIT-ACTIVE","Kit de Autoligado Interactivo Active c/g.345 .022",,"4",,,
"KIT-MEMORY-R","Kit de Autoligado Interactivo Memory c/g.345 .022",,"1",,,
"KIT-NOVA","Kit de Autoligado Interactivo Nova",,"37",,,
"KIT-NOVA C","Kit de Autoligado Interactivo Nova "C"",,"11",,,
"KIT-NOVA-PLUS","Kit de Autoligado Interactivo Nova Plus",,"5",,,
"KIT-TUBOS SS","Tubos Smile System",,"1",,,
"MB1000","Kit de Micro tornillos Elite",,"11",,,
"MIP-1610","Micro tornillos de anclaje temporal Quick Plus 15mm length, 1.6mm diameter",,"15",,,
"VCECGM","Selección de desechables color verde menta 400 piezas",,"1",,,
"Total
","
","121469","
","
",
"Viernes, 15 de Noviembre de 2024 (08:21 am)","Página 1",
